Task ID: 1, Assigned to Server: 1, Server Current Utilization: 0.0612815
Task ID: 2, Assigned to Server: 2, Server Current Utilization: 0.078213
Task ID: 3, Assigned to Server: 3, Server Current Utilization: 0.125675
Task ID: 4, Assigned to Server: 1, Server Current Utilization: 0.0535434
Task ID: 5, Assigned to Server: 2, Server Current Utilization: 0.110263
Task ID: 6, Assigned to Server: 3, Server Current Utilization: 0.0259439
Task ID: 7, Assigned to Server: 3, Server Current Utilization: 0.0805529
Task ID: 8, Assigned to Server: 1, Server Current Utilization: 0.0872218
Task ID: 9, Assigned to Server: 2, Server Current Utilization: 0.0709318
Task ID: 10, Assigned to Server: 2, Server Current Utilization: 0.0477108
Task ID: 11, Assigned to Server: 1, Server Current Utilization: 0.194247
Task ID: 12, Assigned to Server: 3, Server Current Utilization: 0.0282795
Task ID: 13, Assigned to Server: 3, Server Current Utilization: 0.0299578
Task ID: 14, Assigned to Server: 3, Server Current Utilization: 0.0686568
Task ID: 15, Assigned to Server: 1, Server Current Utilization: 0.112867
Task ID: 16, Assigned to Server: 2, Server Current Utilization: 0.160979
Task ID: 17, Assigned to Server: 3, Server Current Utilization: 0.0836566
Task ID: 18, Assigned to Server: 1, Server Current Utilization: 0.349898
Task ID: 19, Assigned to Server: 2, Server Current Utilization: 0.124998
Task ID: 20, Assigned to Server: 3, Server Current Utilization: 0.0744674
Task ID: 21, Assigned to Server: 1, Server Current Utilization: 0.101214
Task ID: 22, Assigned to Server: 2, Server Current Utilization: 0.176544
Task ID: 23, Assigned to Server: 3, Server Current Utilization: 0.22183
Task ID: 24, Assigned to Server: 1, Server Current Utilization: 0.108049
Task ID: 25, Assigned to Server: 2, Server Current Utilization: 0.0925106
Task ID: 26, Assigned to Server: 2, Server Current Utilization: 0.0521897
Task ID: 27, Assigned to Server: 2, Server Current Utilization: 0.167942
Task ID: 28, Assigned to Server: 1, Server Current Utilization: 0.168732
Task ID: 29, Assigned to Server: 2, Server Current Utilization: 0.161628
Task ID: 30, Assigned to Server: 2, Server Current Utilization: 0.345365
Task ID: 31, Assigned to Server: 1, Server Current Utilization: 0.156741
Task ID: 32, Assigned to Server: 3, Server Current Utilization: 0.0857591
Task ID: 33, Assigned to Server: 3, Server Current Utilization: 0.0912023
Task ID: 34, Assigned to Server: 1, Server Current Utilization: 0.0623174
Task ID: 35, Assigned to Server: 1, Server Current Utilization: 0.0799953
Task ID: 36, Assigned to Server: 1, Server Current Utilization: 0.182996
Task ID: 37, Assigned to Server: 3, Server Current Utilization: 0.193341
Task ID: 38, Assigned to Server: 1, Server Current Utilization: 0.359338
Task ID: 39, Assigned to Server: 2, Server Current Utilization: 0.0687684
Task ID: 40, Assigned to Server: 2, Server Current Utilization: 0.110075
Task ID: 41, Assigned to Server: 3, Server Current Utilization: 0.117166
Task ID: 42, Assigned to Server: 2, Server Current Utilization: 0.157752
Task ID: 43, Assigned to Server: 3, Server Current Utilization: 0.0514424
Task ID: 44, Assigned to Server: 3, Server Current Utilization: 0.0305532
Task ID: 45, Assigned to Server: 3, Server Current Utilization: 0.067346
Task ID: 46, Assigned to Server: 3, Server Current Utilization: 0.0969783
Task ID: 47, Assigned to Server: 1, Server Current Utilization: 0.23626
Task ID: 48, Assigned to Server: 3, Server Current Utilization: 0.0994292
Task ID: 49, Assigned to Server: 3, Server Current Utilization: 0.128301
Task ID: 50, Assigned to Server: 1, Server Current Utilization: 0.0555119
Task ID: 51, Assigned to Server: 2, Server Current Utilization: 0.0985135
Task ID: 52, Assigned to Server: 1, Server Current Utilization: 0.070266
Task ID: 53, Assigned to Server: 1, Server Current Utilization: 0.177948
Task ID: 54, Assigned to Server: 2, Server Current Utilization: 0.133727
Task ID: 55, Assigned to Server: 3, Server Current Utilization: 0.119237
Task ID: 56, Assigned to Server: 3, Server Current Utilization: 0.146977
Task ID: 57, Assigned to Server: 2, Server Current Utilization: 0.142815
Task ID: 58, Assigned to Server: 1, Server Current Utilization: 0.102788
Task ID: 59, Assigned to Server: 1, Server Current Utilization: 0.195358
Task ID: 60, Assigned to Server: 2, Server Current Utilization: 0.109676
Task ID: 61, Assigned to Server: 2, Server Current Utilization: 0.090211
Task ID: 62, Assigned to Server: 2, Server Current Utilization: 0.152249
Task ID: 63, Assigned to Server: 3, Server Current Utilization: 0.0652439
Task ID: 64, Assigned to Server: 3, Server Current Utilization: 0.203226
Task ID: 65, Assigned to Server: 1, Server Current Utilization: 0.0855261
Task ID: 66, Assigned to Server: 1, Server Current Utilization: 0.279423
Task ID: 67, Assigned to Server: 2, Server Current Utilization: 0.144765
Task ID: 68, Assigned to Server: 2, Server Current Utilization: 0.186917
Task ID: 69, Assigned to Server: 2, Server Current Utilization: 0.258995
Task ID: 70, Assigned to Server: 3, Server Current Utilization: 0.221133
Task ID: 71, Assigned to Server: 1, Server Current Utilization: 0.184491
Task ID: 72, Assigned to Server: 1, Server Current Utilization: 0.529809
Task ID: 73, Assigned to Server: 2, Server Current Utilization: 0.187753
Task ID: 74, Assigned to Server: 2, Server Current Utilization: 0.253254
Task ID: 75, Assigned to Server: 3, Server Current Utilization: 0.124345
Task ID: 76, Assigned to Server: 3, Server Current Utilization: 0.0804386
Task ID: 77, Assigned to Server: 3, Server Current Utilization: 0.120689
Task ID: 78, Assigned to Server: 3, Server Current Utilization: 0.181054
Task ID: 79, Assigned to Server: 3, Server Current Utilization: 0.238965
Task ID: 80, Assigned to Server: 1, Server Current Utilization: 0.426384
Task ID: 81, Assigned to Server: 2, Server Current Utilization: 0.127145
Task ID: 82, Assigned to Server: 2, Server Current Utilization: 0.20029
Task ID: 83, Assigned to Server: 1, Server Current Utilization: 0.436496
Task ID: 84, Assigned to Server: 3, Server Current Utilization: 0.204653
Task ID: 85, Assigned to Server: 2, Server Current Utilization: 0.244296
Task ID: 86, Assigned to Server: 1, Server Current Utilization: 0.0585746
Task ID: 87, Assigned to Server: 1, Server Current Utilization: 0.428763
Task ID: 88, Assigned to Server: 3, Server Current Utilization: 0.232305
Task ID: 89, Assigned to Server: 2, Server Current Utilization: 0.264541
Task ID: 90, Assigned to Server: 3, Server Current Utilization: 0.205357
Task ID: 91, Assigned to Server: 3, Server Current Utilization: 0.328051
Task ID: 92, Assigned to Server: 2, Server Current Utilization: 0.608232
Task ID: 93, Assigned to Server: 1, Server Current Utilization: 0.241679
Task ID: 94, Assigned to Server: 1, Server Current Utilization: 0.136065
Task ID: 95, Assigned to Server: 1, Server Current Utilization: 0.33309
Task ID: 96, Assigned to Server: 3, Server Current Utilization: 0.281253
Task ID: 97, Assigned to Server: 3, Server Current Utilization: 0.404151
Task ID: 98, Assigned to Server: 1, Server Current Utilization: 0.293137
Task ID: 99, Assigned to Server: 1, Server Current Utilization: 0.288509
Task ID: 100, Assigned to Server: 1, Server Current Utilization: 0.464237
Task ID: 101, Assigned to Server: 2, Server Current Utilization: 0.23112
Task ID: 102, Assigned to Server: 2, Server Current Utilization: 0.106206
Task ID: 103, Assigned to Server: 2, Server Current Utilization: 0.224837
